Empresa;Estado;Produto;Tipo do Produto;Certificação;Tipo Símbolo
A & A IND. E COM. DE PRODS. ALIMENTICIOS LTDA;GO;CRISTAL DU PURO;TM;Pureza, Qualidade;Superior
A & A IND. E COM. DE PRODS. ALIMENTICIOS LTDA;GO;CRISTAL DU PURO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
A B M IND. E COM. CAFE LTDA.;PR;BASA;TM;Pureza, Qualidade;Tradicional
A B M IND. E COM. CAFE LTDA.;PR;BASA EXPRESSO;GR;Pureza, Qualidade;Gourmet
A B M IND. E COM. CAFE LTDA.;PR;COCARI EXPRESSO GOURMET;GR;Pureza, Qualidade;Gourmet
A B M IND. E COM. CAFE LTDA.;PR;COCARI GOURMET;TM;Pureza, Qualidade;Gourmet
A B M IND. E COM. CAFE LTDA.;PR;COCARI TRADICIONAL;TM;Pureza, Qualidade;Tradicional
A B M IND. E COM. CAFE LTDA.;PR;ESTORIL;TM;Pureza, Qualidade;Tradicional
A B M IND. E COM. CAFE LTDA.;PR;LOVAT EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
A. ABRANTES GADELHA  CIA;PB;FREI DAMIAO;TM;Pureza, Qualidade;Tradicional
A. S. DA SILVA - ME;BA;EXTREMO SUL;TM;Pureza, Qualidade;Tradicional
A. S. DA SILVA - ME;BA;SAMONTE EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
AGM IND. E TORREF. LTDA - ME;ES;PEDRA BONITA;TM;Pureza, Qualidade;Tradicional
AGRIPLUS AGROIND. E COM. LTDA.;MG;IRAI;TM;Pureza, Qualidade;Tradicional
AGRO CANASTRA IND. E TORREF.  LTDA;MG;BRAVO BARITONO;TM;Pureza, Qualidade;Gourmet
AGRO CANASTRA IND. E TORREF.  LTDA;MG;BRAVO MAESTRO;TM;Pureza, Qualidade;Gourmet
AGRO CANASTRA IND. E TORREF.  LTDA;MG;BRAVO TENOR;TM;Pureza, Qualidade;Gourmet
AGRO CANASTRA IND. E TORREF.  LTDA;MG;JARAGUA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AGRO CANASTRA IND. E TORREF.  LTDA;MG;NAGUMO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
AGRO CANASTRA IND. E TORREF.  LTDA;MG;NAGUMO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AGROIND. E EXP. CAFE BAHIA S_A.;BA;BAHIA CLASSE A;GR;Pureza, Qualidade;Gourmet
AGROIND. E EXP. CAFE BAHIA S_A.;BA;BAHIA CLASSICO;GR;Pureza, Qualidade;Gourmet
AGROIND. E EXP. CAFE BAHIA S_A.;BA;BAHIA ESPRESSO BAR;TM;Pureza, Qualidade;Superior
AGROIND. E EXP. CAFE BAHIA S_A.;BA;BAHIA GOURMET;TM;Pureza, Qualidade;Gourmet
AGROIND. E EXP. CAFE BAHIA S_A.;BA;BAHIA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AGROIND. E EXP. CAFE BAHIA S_A.;BA;PELOURINHO GOURMET;GR;Pureza, Qualidade;Gourmet
AGROIND. E EXP. CAFE BAHIA S_A.;BA;RIO BRANCO VACUO;TM;Pureza, Qualidade;Tradicional
AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.;MG;DA FAZENDA EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.;MG;DA FAZENDA GOURMET;GR;Pureza, Qualidade;Gourmet
AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.;MG;DA FAZENDA GOURMET;TM;Pureza, Qualidade;Gourmet
AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.;MG;DA FAZENDA PREMIUM;TM;Pureza, Qualidade;Superior
AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.;MG;DA FAZENDA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AGROPEC. FAZENDA DO BENTO IND. E COM. LTDA.;MG;DO PRATA - EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
ALCAFE CAFE LTDA.;SP;TERREIRO;TM;Pureza, Qualidade;Tradicional
ALIMS. ATALAIA LTDA;PR;ATALAIA EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
ALIMS. ATALAIA LTDA;PR;ATARY CASEIRO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
ALIMS. ATALAIA LTDA;PR;MARACAJU EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
ALMEIDA E ANDRADE LTDA - ME;RO;RIO BRILHANTE;TM;Pureza, Qualidade;Tradicional
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;ALTO DE MINAS GOURMET;TM;Pureza, Qualidade;Gourmet
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;ALTO DE MINAS GOURMET;GR;Pureza, Qualidade;Gourmet
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;ALTO DE MINAS SUPERIOR;TM;Pureza, Qualidade;Superior
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;ALTO DE MINAS SUPERIOR;GR;Pureza, Qualidade;Superior
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;ALTO DE MINAS TRADICIONAL;TM;Pureza, Qualidade;Tradicional
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;ALTO DE MINAS TRADICIONAL;GR;Pureza, Qualidade;Tradicional
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;BERRO DAGUA;GR;Pureza, Qualidade;Especial
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;BERRO DAGUA GOURMET;TM;Pureza, Qualidade;Gourmet
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;BERRO DAGUA GOURMET;GR;Pureza, Qualidade;Gourmet
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;CONSTANTINO CLASSICO;GR;Pureza, Qualidade;Gourmet
ALTO DE MINAS COM. E IND. DE CAFE LTDA;MG;CONSTANTINO CLASSICO;TM;Pureza, Qualidade;Gourmet
AM COM. IND. DE CAFE LTDA.;MG;TIETA;TM;Pureza, Qualidade;Tradicional
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;NORTE DE MINAS EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;NORTE DE MINAS SUPERIOR;TM;Pureza, Qualidade;Superior
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;NORTE DE MINAS TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;TANIA;TM;Pureza, Qualidade;Tradicional
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO CARAMELLATO;GR;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO DESCAFEINADO;GR;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO DESCAFEINADO;TM;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO ESPRESSO;GR;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO FRUTTATO;GR;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO ORGANICO;GR;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO ORGANICO;TM;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO PREMIUM;TM;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TIPO ESPECIAL CARAMELLATO;TM;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TIPO ESPECIAL FRUTTATO;TM;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TORRADO EM GRAOS;GR;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TRADICIONAL;GR;Pureza, Qualidade;Tradicional
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
ANJU IND. E COM. DE CAFE LTDA.;SC;RIOSUL;TM;Pureza, Qualidade;Extraforte
ANTONIO SOUTO CASTRO  CIA. LTDA.;BA;VERDES MARES;TM;Pureza, Qualidade;Tradicional
AROMA DOURADO TORREF. E MOAG. DE CAFE  LTDA;SP;PEPIRA DOURADO;TM;Pureza, Qualidade;Superior
ATLAS COM. E IND. LTDA.;GO;BAMBINO;TM;Pureza, Qualidade;Tradicional
ATLAS COM. E IND. LTDA.;GO;CALOURO;TM;Pureza, Qualidade;Tradicional
ATLAS COM. E IND. LTDA.;GO;PELICANO;TM;Pureza, Qualidade;Tradicional
AUMA CAFE LTDA;MG;TERRAGUSTI  EXRA FORTE;TM;Pureza, Qualidade;Extraforte
AUMA CAFE LTDA;MG;TERRAGUSTI 100% ARABICA;TM;Pureza, Qualidade;Extraforte
AUMA CAFE LTDA;MG;TERRAGUSTI GOURMET;TM;Pureza, Qualidade;Gourmet
AUMA CAFE LTDA;MG;TERRAGUSTI GOURMET;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;FORNO GRANDE;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO AUDAZ;GR;Pureza, Qualidade;Gourmet
